addr:housenumber,addr:street,building
14,Ettrick Crescent,detached
7,Bajan Street,detached
36,Phylis Street,detached
27,Roberta Crescent,detached
8,Barran Street,detached
6,St. Remy Drive,detached
73,Teevens Drive,detached
24,Barran Street,detached
122,Larkin Drive,house
13,Ettrick Crescent,detached
150,Larkin Drive,detached
30,Fable Street,detached
33,Kane Terrace,detached
10,Bajan Street,detached
67,Teevens Drive,detached
29,Jerrilynn Crescent,detached
5,Andrea Crescent,detached
80,Fable Street,detached
28,St. Remy Drive,detached
15,Laming Street,detached
16,Kane Terrace,detached
18,Phylis Street,detached
109,Stradwick Avenue,detached
11,Chalice Court,detached
15,Jerrilynn Crescent,detached
23,Langholm Crescent,detached
139,Stradwick Avenue,detached
89,Larkin Drive,detached
37,Roberta Crescent,detached
112,Larkin Drive,house
29,Kane Terrace,detached
17,Roberta Crescent,detached
14,Bajan Street,detached
4,Phylis Street,detached
86,Larkin Drive,detached
43,Langholm Crescent,detached
60,Melville Drive,detached
54,Otten Drive,detached
17,Melville Drive,detached
6,Roberta Crescent,detached
80,Melville Drive,detached
4,Raftus Square,detached
54,St. Remy Drive,detached
37,Ettrick Crescent,detached
10,St. Remy Drive,detached
146,Larkin Drive,detached
4,Jerrilynn Crescent,detached
3,Teevens Drive,detached
52,Fable Street,detached
23,Kane Terrace,detached
43,Ettrick Crescent,detached
127,Stradwick Avenue,detached
108,Larkin Drive,house
44,St. Remy Drive,detached
27,Langholm Crescent,detached
3,Roberta Crescent,detached
75,Teevens Drive,detached
53,Ettrick Crescent,detached
120,Larkin Drive,detached
154,Larkin Drive,detached
26,Fable Street,house
29,Melville Drive,detached
12,Bajan Street,detached
95,Stradwick Avenue,detached
43,St. Remy Drive,detached
8,Andrea Crescent,detached
14,Berkshire Way,terrace
96,Larkin Drive,detached
3,Jerrilynn Crescent,detached
8,Laming Street,detached
14,Kane Terrace,detached
130,Larkin Drive,house
111,Stradwick Avenue,detached
5,Chalice Court,detached
14,Langholm Crescent,detached
33,Langholm Crescent,detached
27,Teevens Drive,detached
11,Blueridge Court,detached
31,Roberta Crescent,detached
33,Andrea Crescent,detached
15,Roberta Crescent,detached
85,Teevens Drive,detached
8,Phylis Street,detached
41,Langholm Crescent,detached
23,Teevens Drive,detached
15,Kane Terrace,detached
15,Melville Drive,detached
39,Roberta Crescent,detached
84,Melville Drive,detached
127,Larkin Drive,detached
19,Jerrilynn Crescent,detached
11,Barran Street,detached
4,St. Remy Drive,detached
23,Laming Street,detached
75,Larkin Drive,detached
20,St. Remy Drive,detached
73,Larkin Drive,detached
16,Laming Street,detached
50,Fable Street,detached
7,Blueridge Court,detached
16,Ettrick Crescent,detached
129,Stradwick Avenue,detached
59,Teevens Drive,detached
52,St. Remy Drive,detached
45,Ettrick Crescent,detached
13,Phylis Street,detached
55,Ettrick Crescent,detached
